Generation,Fitness
1,20
2,21
3,21
4,21
5,21
6,21
7,21
8,21
9,22
10,22
11,23
12,25
13,23
14,23
15,25
16,24
17,24
18,24
19,26
20,27
21,26
22,26
23,25
24,23
25,24
26,24
27,25
28,25
29,26
30,26
31,27
32,26
33,26
34,25
35,25
36,25
37,25
38,27
39,26
40,27
41,26
42,26
43,26
44,28
45,26
46,27
47,27
48,27
49,26
50,26
51,25
52,25
53,26
54,26
55,26
56,26
57,28
58,26
59,26
60,27
61,27
62,26
63,26
64,26
65,27
66,27
67,27
68,27
69,28
70,27
71,27
72,27
73,27
74,27
75,28
76,28
77,28
78,28
79,28
80,28
81,28
82,28
83,28
84,29
85,30
86,30
87,28
88,28
89,29
90,29
91,29
92,29
93,29
94,29
95,29
96,29
97,28
98,28
99,28
100,27
101,29
102,28
103,27
104,26
105,26
106,27
107,27
108,27
109,27
110,27
111,27
112,27
113,28
114,27
115,29
116,28
117,28
118,28
119,29
120,29
121,29
122,28
123,28
124,28
125,28
126,27
127,27
128,27
129,28
130,27
131,28
132,28
133,28
134,28
135,28
136,29
137,28
138,28
139,30
140,28
141,28
142,29
143,29
144,28
145,28
146,28
147,28
148,28
149,29
150,29
151,28
152,28
153,29
154,29
155,29
156,29
157,30
158,30
159,30
160,29
161,28
162,28
163,29
164,28
165,28
166,28
167,28
168,28
169,28
170,28
171,28
172,29
173,29
174,30
175,29
176,28
177,29
178,29
179,29
180,29
181,29
182,28
183,28
184,29
185,29
186,28
187,29
188,29
189,29
190,29
191,29
192,29
193,29
194,29
195,28
196,29
197,29
198,28
199,29
200,29
