Generation,Best Fitness
1,22
2,23
3,23
4,23
5,23
6,25
7,26
8,25
9,25
10,26
11,25
12,25
13,25
14,25
15,26
16,26
17,26
18,29
19,27
20,27
21,28
22,26
23,26
24,26
25,27
26,27
27,26
28,26
29,26
30,25
31,25
32,25
33,27
34,27
35,26
36,26
37,26
38,25
39,26
40,26
41,26
42,27
43,28
44,28
45,28
46,28
47,28
48,27
49,26
50,27
51,26
52,27
53,27
54,29
55,28
56,27
57,26
58,27
59,27
60,26
61,27
62,26
63,26
64,28
65,27
66,28
67,28
68,27
69,28
70,29
71,29
72,28
73,29
74,28
75,28
76,28
77,27
78,28
79,29
80,27
81,29
82,29
83,29
84,28
85,29
86,28
87,29
88,29
89,30
90,29
91,29
92,29
93,29
94,29
95,29
96,29
97,28
98,28
99,28
100,27
101,29
102,28
103,28
104,28
105,30
106,30
107,29
108,29
109,30
110,30
111,30
112,30
113,29
114,30
115,30
116,29
117,30
118,29
119,30
120,29
121,29
122,29
123,29
124,29
125,29
126,29
127,30
128,29
129,29
130,29
131,29
132,28
133,28
134,29
135,29
136,28
137,27
138,27
139,27
140,29
141,29
142,29
143,29
144,29
145,29
146,28
147,29
148,29
149,30
150,30
151,29
152,30
153,30
154,30
155,30
156,29
157,29
158,28
159,29
160,28
161,29
162,29
163,28
164,28
165,28
166,27
167,27
168,27
169,27
170,27
171,27
172,27
173,27
174,27
175,27
176,27
177,27
178,28
179,28
180,27
181,27
182,27
183,28
184,27
185,27
186,28
187,28
188,28
189,29
190,29
191,29
192,28
193,29
194,29
195,29
196,29
197,30
198,29
199,29
200,29
